RESOURCE;FIELD;SCHEMA;ANON;BRP;ES;EU;FISO;MO;SO;SP;TP;ORG;ENT;IEN;ID
entity;;api;;;;;L;;;;;L;;;
entity;id;api;;R;R;R;R;R;R;R;R;R;R;;
entity;name;api;;R;R;R;RCU;R;R;R;R;R;R;;
entity;type;api;;R;R;R;RC;R;R;R;R;R;R;;
entity;business_id;api;;R;R;R;RC;R;R;R;R;R;R;;
entity;business_id_type;api;;R;R;R;RC;R;R;R;R;R;R;;
entity;recorded_at;api;;R;R;R;R;R;R;R;R;R;R;;
entity;recorded_by;api;;R;R;R;R;R;R;R;R;R;R;;
entity_client;;api;;;;;;;;;;D;D;;
entity_client;id;api;;R;R;R;R;R;R;R;R;R;R;;
entity_client;entity_id;api;;R;R;R;R;R;R;R;R;RC;RC;;
entity_client;name;api;;R;R;R;R;R;R;R;R;RCU;RCU;;
entity_client;client_id;api;;R;R;R;R;R;R;R;R;R;R;;
entity_client;party_id;api;;R;R;R;R;R;R;R;R;RCU;RCU;;
entity_client;scopes;api;;R;R;R;R;R;R;R;R;RCU;RCU;;
entity_client;client_secret;api;;R;R;R;R;R;R;R;R;RCU;RCU;;
entity_client;public_key;api;;R;R;R;R;R;R;R;R;RCU;RCU;;
entity_client;recorded_at;api;;R;R;R;R;R;R;R;R;R;R;;
entity_client;recorded_by;api;;R;R;R;R;R;R;R;R;R;R;;
party;;api;;;;;;;;;;;;R;
party;id;api;;R;R;R;R;R;R;R;R;R;R;;
party;name;api;;R;R;R;RCU;R;R;R;R;R;R;;
party;business_id;api;;R;R;R;RC;R;R;R;R;R;R;;
party;business_id_type;api;;R;R;R;RC;R;R;R;R;R;R;;
party;entity_id;api;;R;R;R;RC;R;R;R;R;R;R;;
party;type;api;;R;R;R;RC;R;R;R;R;R;R;;
party;role;api;;R;R;R;RC;R;R;R;R;R;R;;
party;status;api;;R;R;R;RCU;R;R;R;R;R;R;;
party;recorded_at;api;;R;R;R;R;R;R;R;R;R;R;;
party;recorded_by;api;;R;R;R;R;R;R;R;R;R;R;;
identity;id;api;;R;R;R;R;R;R;R;R;R;R;;
identity;entity_id;api;;R;R;R;R;R;R;R;R;R;R;;
identity;entity_name;api;;R;R;R;R;R;R;R;R;R;R;;
identity;party_id;api;;R;R;R;R;R;R;R;R;R;R;;
identity;party_name;api;;R;R;R;R;R;R;R;R;R;R;;
party_membership;;api;;;;;D;;;;;D;;;
party_membership;id;api;;R;R;R;R;R;R;R;R;R;R;;
party_membership;entity_id;api;;R;R;R;RC;R;R;R;R;RC;R;;
party_membership;party_id;api;;R;R;R;RC;R;R;R;R;RC;R;;
party_membership;scopes;api;;R;R;R;RCU;R;R;R;R;RCU;R;;
party_membership;recorded_at;api;;R;R;R;R;R;R;R;R;R;R;;
party_membership;recorded_by;api;;R;R;R;R;R;R;R;R;R;R;;
controllable_unit;;api;;;;;L;;;L;;;;R;R
controllable_unit;id;api;;R;R;R;R;R;R;R;R;;;;
controllable_unit;business_id;api;;R;R;R;R;R;R;R;R;;;;
controllable_unit;name;api;;R;R;R;RCU;R;R;RCU;R;;;;
controllable_unit;regulation_direction;api;;R;R;R;RCU;R;R;RCU;R;;;;
controllable_unit;maximum_active_power;api;;R;R;R;RCU;R;R;RCU;R;;;;
controllable_unit;is_small;api;;R;R;R;R;R;R;R;R;;;;
controllable_unit;start_date;api;;R;R;R;RCU;R;R;RCU;R;;;;
controllable_unit;status;api;;R;R;R;RCU;R;R;RCU;R;;;;
controllable_unit;accounting_point_id;api;;R;R;R;RC;R;R;RC;R;;;;
controllable_unit;additional_information;api;;R;R;R;RCU;R;R;RCU;R;;;;
controllable_unit;recorded_at;api;;R;R;R;R;R;R;R;R;;;;
controllable_unit;recorded_by;api;;R;R;R;R;R;R;R;R;;;;
controllable_unit_service_provider;;api;;;;;D;;;D;;;;R;
controllable_unit_service_provider;id;api;;R;R;R;R;R;R;R;R;;;;
controllable_unit_service_provider;controllable_unit_id;api;;R;R;R;RC;R;R;RC;R;;;;
controllable_unit_service_provider;service_provider_id;api;;R;R;R;RC;R;R;RC;R;;;;
controllable_unit_service_provider;end_user_id;api;;R;R;R;RC;R;R;RC;R;;;;
controllable_unit_service_provider;contract_reference;api;;R;R;R;RCU;R;R;RCU;R;;;;
controllable_unit_service_provider;valid_from;api;;R;R;R;RCU;R;R;RCU;R;;;;
controllable_unit_service_provider;valid_to;api;;R;R;R;RCU;R;R;RCU;R;;;;
controllable_unit_service_provider;recorded_at;api;;R;R;R;R;R;R;R;R;;;;
controllable_unit_service_provider;recorded_by;api;;R;R;R;R;R;R;R;R;;;;
controllable_unit_suspension;;api;;;;;D;;D;;;;;R;
